2026-06-15 14:56:40 | inversor | falha_coleta_ou_json_invalido | None
2026-06-15 14:56:42 | rele | leitura_invalida | {'r25': 0, 'r27A': 0, 'r27B': 0, 'r27C': 0, 'r32A': 0, 'r32B': 0, 'r32C': 0, 'r37A': 0, 'r37B': 0, 'r37C': 0, 'r47': 0, 'r50A': 0, 'r50B': 0, 'r50C': 0, 'r50N': 0, 'r51A': 0, 'r51B': 0, 'r51C': 0, 'r51N': 0, 'r59A': 0, 'r59B': 0, 'r59C': 0, 'r59N': 0, 'r67A': 0, 'r67B': 0, 'r67C': 0, 'r67N': 0, 'r78': 0, 'r81': 0, 'r86': 0, 'rFREQ': 59.84, 'rIfaseA': 110.05, 'rIfaseB': 108.58, 'rIfaseC': 108.49, 'rVfaseA': 235.79, 'rVfaseB': 236.63, 'rVfaseC': 235.73, 'rpac': 94.35, 'rpac1': 31, 'rpac2': 31, 'rpac3': 31, 'rtempinterno': 34.56, 'sn': 'releprote_18746927', 'tsleitura': '2026-06-15 14:56:42'}
2026-06-15 14:57:15 | rele | leitura_invalida | {'r25': 0, 'r27A': 0, 'r27B': 0, 'r27C': 0, 'r32A': 0, 'r32B': 0, 'r32C': 0, 'r37A': 0, 'r37B': 0, 'r37C': 0, 'r47': 0, 'r50A': 0, 'r50B': 0, 'r50C': 0, 'r50N': 0, 'r51A': 0, 'r51B': 0, 'r51C': 0, 'r51N': 0, 'r59A': 0, 'r59B': 0, 'r59C': 0, 'r59N': 0, 'r67A': 0, 'r67B': 0, 'r67C': 0, 'r67N': 0, 'r78': 0, 'r81': 0, 'r86': 0, 'rFREQ': 0.0, 'rIfaseA': 0.0, 'rIfaseB': 0.0, 'rIfaseC': 0.0, 'rVfaseA': 0.0, 'rVfaseB': 0.0, 'rVfaseC': 0.0, 'rpac': 0.0, 'rpac1': 0, 'rpac2': 0, 'rpac3': 0, 'rtempinterno': 0.0, 'sn': 'releprote_18746929', 'tpLei': 'rele', 'tsleitura': '2026-06-15 14:57:15'}
2026-06-15 14:57:31 | rele | leitura_invalida | {'r25': 1, 'r27A': 0, 'r27B': 0, 'r27C': 0, 'r32A': 0, 'r32B': 0, 'r32C': 0, 'r37A': 0, 'r37B': 0, 'r37C': 0, 'r47': 0, 'r50A': 0, 'r50B': 0, 'r50C': 0, 'r50N': 0, 'r51A': 0, 'r51B': 0, 'r51C': 0, 'r51N': 0, 'r59A': 0, 'r59B': 0, 'r59C': 0, 'r59N': 0, 'r67A': 0, 'r67B': 0, 'r67C': 0, 'r67N': 0, 'r78': 0, 'r81': 0, 'r86': 0, 'rFREQ': [], 'rIfaseA': 173.79, 'rIfaseB': 175.49, 'rIfaseC': 174.45, 'rVfaseA': '8155,31', 'rVfaseB': 220.82, 'rVfaseC': 221.61, 'rpac': 299.24, 'rpac1': 100, 'rpac2': 100, 'rpac3': 100, 'rtempinterno': 36.34, 'sn': 'releprote_18746927', 'tpLei': 'rele', 'tsleitura': '2026-06-15 14:57:31'}
2026-06-15 15:18:09 | estacao | leitura_invalida | {'IrDay': '0.0', 'IrGHI': '0.000000', 'IrPOA': '0.000000', 'IrTotal': '0.0', 'Umid': '0', 'chuTotal': '0', 'dirVento': '0', 'sn': 'estacao_18746413', 'tempAmb': '0', 'tempMedMod': '0', 'tpLei': 'meteo', 'tsleitura': '2026-06-15 15:18:09', 'velVento': '0'}
2026-06-15 15:18:25 | rele | leitura_invalida | {'r25': 0, 'r27A': 0, 'r27B': 0, 'r27C': 0, 'r32A': 0, 'r32B': 0, 'r32C': 0, 'r37A': 0, 'r37B': 0, 'r37C': 0, 'r47': 0, 'r50A': 0, 'r50B': 0, 'r50C': 0, 'r50N': 0, 'r51A': 0, 'r51B': 0, 'r51C': 0, 'r51N': 0, 'r59A': 0, 'r59B': 0, 'r59C': 0, 'r59N': 0, 'r67A': 0, 'r67B': 0, 'r67C': 0, 'r67N': 0, 'r78': 0, 'r81': 0, 'r86': 0, 'rFREQ': 59.56, 'rIfaseA': 201.12, 'rIfaseB': 202.41, 'rIfaseC': 200.18, 'rVfaseA': 240.64, 'rVfaseB': 240.34, 'rVfaseC': 240.15, 'rpac': 126.93, 'rpac1': 42, 'rpac2': 42, 'rpac3': 42, 'rtempinterno': 38.38, 'tpLei': 'rele', 'tsleitura': '2026-06-15 15:18:25'}
2026-06-15 15:18:32 | inversor | leitura_invalida | {'Eday': 0.0, 'Etotal': 0.0, 'Iac': 0.0, 'Iac1': 0.0, 'Iac2': 0.0, 'Iac3': 0.0, 'Ipv1': 0.0, 'Ipv2': 0.0, 'Ipv3': 0.0, 'Pac': 0.0, 'Pac1': 0, 'Pac2': 0, 'Pac3': 0, 'Temp': 0.0, 'Uac': 0.0, 'Uac1': 0.0, 'Uac2': 0.0, 'Uac3': 0.0, 'Upv1': 0.0, 'Upv2': 0.0, 'Upv3': 0.0, 'cos': 0.0, 'fac': 0.0, 'sn': 'A2351801217', 'tsleitura': '2026-06-15 15:18:32'}
2026-06-15 15:18:51 | inversor | leitura_invalida | {'Eday': 981.3, 'Etotal': 1611952.94, 'Iac': 0.909, 'Iac1': 0.297, 'Iac2': 0.303, 'Iac3': 0.294, 'Ipv1': 0.032, 'Ipv2': 0.041, 'Ipv3': 0.025, 'Pac1': 67, 'Pac2': 67, 'Pac3': 67, 'Temp': 46.9, 'Uac': 226.72, 'Uac1': 226.1, 'Uac2': 228.95, 'Uac3': 225.11, 'Upv1': 601.54, 'Upv2': 533.76, 'Upv3': 672.99, 'cos': 0.997, 'fac': 59.88, 'sn': 'A2351801219', 'tsleitura': '2026-06-15 15:18:51'}
2026-06-15 15:19:20 | rele | leitura_invalida | {'r25': 0, 'r27A': 0, 'r27B': 0, 'r27C': 0, 'r32A': 0, 'r32B': 0, 'r32C': 0, 'r37A': 0, 'r37B': 0, 'r37C': 0, 'r47': 0, 'r50A': 0, 'r50B': 0, 'r50C': 0, 'r50N': 0, 'r51A': 0, 'r51B': 0, 'r51C': 0, 'r51N': 0, 'r59A': 0, 'r59B': 0, 'r59C': 0, 'r59N': 0, 'r67A': 0, 'r67B': 0, 'r67C': 0, 'r67N': 0, 'r78': 0, 'r81': 0, 'r86': 0, 'rFREQ': 60.33, 'rIfaseA': 200.49, 'rIfaseB': 202.25, 'rIfaseC': 199.6, 'rVfaseA': 220.33, 'rVfaseB': 219.13, 'rVfaseC': 220.28, 'rpac': 169.66, 'rpac1': 57, 'rpac2': 57, 'rpac3': 57, 'rtempinterno': 34.93, 'tpLei': 'rele', 'tsleitura': '2026-06-15 15:19:20'}
2026-06-15 15:19:29 | rele | leitura_invalida | {'r25': 0, 'r27A': 0, 'r27B': 0, 'r27C': 0, 'r32A': 0, 'r32B': 0, 'r32C': 0, 'r37A': 0, 'r37B': 0, 'r37C': 0, 'r47': 0, 'r50A': 0, 'r50B': 0, 'r50C': 0, 'r50N': 0, 'r51A': 0, 'r51B': 0, 'r51C': 0, 'r51N': 0, 'r59A': 0, 'r59B': 0, 'r59C': 0, 'r59N': 0, 'r67A': 0, 'r67B': 0, 'r67C': 0, 'r67N': 0, 'r78': 0, 'r81': 0, 'r86': 0, 'rFREQ': 60.48, 'rIfaseA': 101.75, 'rIfaseB': 103.22, 'rIfaseC': 101.72, 'rVfaseA': 237.83, 'rVfaseB': 240.45, 'rVfaseC': 240.65, 'rpac': 235.45, 'rpac1': 78, 'rpac2': 78, 'rpac3': 78, 'rtempinterno': 30.67, 'sn': 'releprote_18746928', 'tpLei': 'rele'}
2026-06-15 15:19:57 | rele | falha_coleta_ou_json_invalido | None
